ville,pays,region,geonameid
Afyonkarahisar,Turkey,Afyonkarahisar Province,325303
Alaghsas,Niger,Agadez,2447938
Agadez,Niger,Agadez,2448085
Kristiansand,Norway,Agder,3149318
Grimstad,Norway,Agder,3155041
Arendal,Norway,Agder,3162955
Aguadilla,Puerto Rico,Aguadilla,4562506
San Francisco de los Romo,Mexico,Aguascalientes,3986985
Rincón de Romos,Mexico,Aguascalientes,3988651
Pabellón de Arteaga,Mexico,Aguascalientes,3993985
Jesús María,Mexico,Aguascalientes,4003995
Calvillo,Mexico,Aguascalientes,4016086
Aguascalientes,Mexico,Aguascalientes,4019233
Duayaw-Nkwanta,Ghana,Ahafo,2301464
Bechem,Ghana,Ahafo,2303258
Kaka,Turkmenistan,Ahal,161901
Abadan,Turkmenistan,Ahal,162099
Baharly,Turkmenistan,Ahal,162158
Änew,Turkmenistan,Ahal,162199
Tejen,Turkmenistan,Ahal,1218239
Ahuachapán,El Salvador,Ahuachapán,3587426
Tsushima,Japan,Aichi,1849539
Toyota,Japan,Aichi,1849814
Toyokawa,Japan,Aichi,1849845
Toyohashi,Japan,Aichi,1849846
Toyohama,Japan,Aichi,1849850
Tokoname,Japan,Aichi,1850185
Taketoyo,Japan,Aichi,1850818
Takahama,Japan,Aichi,1851155
Tahara,Japan,Aichi,1851259
Sobue,Japan,Aichi,1851622
Shinshiro,Japan,Aichi,1852046
Seto,Japan,Aichi,1852663
Okazaki,Japan,Aichi,1854376
Ōbu,Japan,Aichi,1854803
Nishio,Japan,Aichi,1855189
Nagoya,Japan,Aichi,1856057
Kuroda,Japan,Aichi,1858249
Kozakai-chō,Japan,Aichi,1858591
Kōnan,Japan,Aichi,1858836
Komaki,Japan,Aichi,1858926
Kasugai,Japan,Aichi,1859891
Kariya,Japan,Aichi,1860034
Kanie,Japan,Aichi,1860191
Iwakura,Japan,Aichi,1861207
Ishiki,Japan,Aichi,1861383
Inuyama,Japan,Aichi,1861528
Inazawa,Japan,Aichi,1861602
Ichinomiya,Japan,Aichi,1861949
Hekinan,Japan,Aichi,1862912
Handa,Japan,Aichi,1863209
Gamagōri,Japan,Aichi,1863693
Chiryū,Japan,Aichi,1864549
Anjō,Japan,Aichi,1865294
Kitanagoya,Japan,Aichi,6822208
Nisshin,Japan,Aichi,6822209
Chita,Japan,Aichi,6822211
Aileu,Timor Leste,Aileu,1651816
‘Anjarah,Jordan,Ajlun,250420
‘Ajlūn,Jordan,Ajlun,250799
Ajman City,United Arab Emirates,Ajman,292932
Tennō,Japan,Akita,1850405
Yuzawa,Japan,Akita,2110460
Yokote,Japan,Akita,2110506
Ōmagari,Japan,Akita,2111435
Akita,Japan,Akita,2113126
Takanosu,Japan,Akita,2127910
Ōdate,Japan,Akita,2128787
Noshiro,Japan,Akita,2128867
Hanawa,Japan,Akita,2130146
Yurihonjō,Japan,Akita,6822202
Kita-Akita,Japan,Akita,6822204
Semboku,Japan,Akita,11612707
Ortaköy,Turkey,Aksaray,303290
Aksaray,Turkey,Aksaray,324496
Uyo,Nigeria,Akwa Ibom,2319480
Itu,Nigeria,Akwa Ibom,2336985
Ikot Ekpene,Nigeria,Akwa Ibom,2338106
Esuk Oron,Nigeria,Akwa Ibom,2343093
Eket,Nigeria,Akwa Ibom,2343720
Hīt,Iraq,Al Anbar,95788
Ḩadīthah,Iraq,Al Anbar,96309
Ar Ruţbah,Iraq,Al Anbar,98677
Ramadi,Iraq,Al Anbar,98717
‘Anat al Qadīmah,Iraq,Al Anbar,98885
Al Fallūjah,Iraq,Al Anbar,99454
‘Anah,Iraq,Al Anbar,6765385
Kuwait City,Kuwait,Al Asimah,285787
Ad Dasmah,Kuwait,Al Asimah,285856
Ar Rābiyah,Kuwait,Al Asimah,388065
Ar Riqqah,Kuwait,Al Aḩmadī,285728
Al Manqaf,Kuwait,Al Aḩmadī,285778
Al Mahbūlah,Kuwait,Al Aḩmadī,285782
Al Faḩāḩīl,Kuwait,Al Aḩmadī,285811
Al Finţās,Kuwait,Al Aḩmadī,285812
Al Aḩmadī,Kuwait,Al Aḩmadī,285839
Al Bahah,Saudi Arabia,Al Bahah Region,109953
Sohar,Oman,Al Batinah North,286282
Shināş,Oman,Al Batinah North,286402
Şaḩam,Oman,Al Batinah North,286647
As Suwayq,Oman,Al Batinah North,288955
Liwá,Oman,Al Batinah North,289174
Al Khābūrah,Oman,Al Batinah North,289199
Barkā’,Oman,Al Batinah South,288789
Rustaq,Oman,Al Batinah South,289011
Oman Smart Future City,Oman,Al Batinah South,11809066
Al Bayda,Yemen,Al Bayda,79836
Al Buraymī,Oman,Al Buraimi,289317
Tobruk,Libya,Al Buţnān,81302
Janūb as Surrah,Kuwait,Al Farwaniyah,285603
Al Farwānīyah,Kuwait,Al Farwaniyah,285815
Zabīd,Yemen,Al Hudaydah,69500
Bayt al Faqīh,Yemen,Al Hudaydah,76991
Bājil,Yemen,Al Hudaydah,77408
Al Ḩudaydah,Yemen,Al Hudaydah,79415
Al Bayḑā’,Libya,Al Jabal al Akhḑar,89055
Al Jahrā’,Kuwait,Al Jahrāʼ,285799
Al Ḩazm,Yemen,Al Jawf,79455
Ţubarjal,Saudi Arabia,Al Jawf Region,101631
Sakakah,Saudi Arabia,Al Jawf Region,102527
Qurayyat,Saudi Arabia,Al Jawf Region,108648
Wad Medani,Sudan,Al Jazīrah,364103
Al Manāqil,Sudan,Al Jazīrah,379149
Al Hilāliyya,Sudan,Al Jazīrah,379406
Al Hasaheisa,Sudan,Al Jazīrah,379427
Waddān,Libya,Al Jufrah,2209055
Hūn,Libya,Al Jufrah,2216645
Al Khawr,Qatar,Al Khor,289962
At Tāj,Libya,Al Kufrah,88562
Al Jawf,Libya,Al Kufrah,88962
Tūkrah,Libya,Al Marj,88834
Al Marj,Libya,Al Marj,88903
Al Abyār,Libya,Al Marj,89087
Tarhuna,Libya,Al Marqab,2210221
Masallātah,Libya,Al Marqab,2215163
Al Khums,Libya,Al Marqab,2219905
As Samawah,Iraq,Al Muthanná,98530
Ar Rumaythah,Iraq,Al Muthanná,98685
Doka,Sudan,Al Qaḑārif,376332
Al Qadarif,Sudan,Al Qaḑārif,379062
Al Ḩawātah,Sudan,Al Qaḑārif,379416
Nāḩiyat ash Shināfīyah,Iraq,Al Qādisīyah,98589
Ash Shāmīyah,Iraq,Al Qādisīyah,98629
Nahiyat Ghammas,Iraq,Al Qādisīyah,99434
‘Afak,Iraq,Al Qādisīyah,99738
Ad Dīwānīyah,Iraq,Al Qādisīyah,99762
Al Wakrah,Qatar,Al Wakrah,289915
Az Zuwaytīnah,Libya,Al Wāḩāt,88380
Ajdabiya,Libya,Al Wāḩāt,89113
Ad Darbāsīyah,Syria,Al-Hasakah,170887
Al Ḩasakah,Syria,Al-Hasakah,173811
Buraydah,Saudi Arabia,Al-Qassim Region,107304
Ar Rass,Saudi Arabia,Al-Qassim Region,108435
Al Mithnab,Saudi Arabia,Al-Qassim Region,109131
Al Bukayrīyah,Saudi Arabia,Al-Qassim Region,109878
Bessemer,United States,Alabama,4048023
Birmingham,United States,Alabama,4049979
Center Point,United States,Alabama,4054378
Cullman,United States,Alabama,4057835
Daphne,United States,Alabama,4058219
Decatur,United States,Alabama,4058553
Dothan,United States,Alabama,4059102
East Florence,United States,Alabama,4059870
Enterprise,United States,Alabama,4060791
Fairhope,United States,Alabama,4061234
Florence,United States,Alabama,4062577
Foley,United States,Alabama,4062644
Gadsden,United States,Alabama,4063619
Helena,United States,Alabama,4066811
Homewood,United States,Alabama,4067927
Hoover,United States,Alabama,4067994
Hueytown,United States,Alabama,4068446
Huntsville,United States,Alabama,4068590
Madison,United States,Alabama,4074267
Millbrook,United States,Alabama,4076239
Mobile,United States,Alabama,4076598
Montgomery,United States,Alabama,4076784
Mountain Brook,United States,Alabama,4078646
Northport,United States,Alabama,4080555
Opelika,United States,Alabama,4081644
Oxford,United States,Alabama,4081914
Pelham,United States,Alabama,4082569
Phenix City,United States,Alabama,4082866
Prattville,United States,Alabama,4084796
Prichard,United States,Alabama,4084888
Selma,United States,Alabama,4089114
Talladega,United States,Alabama,4092788
Tillmans Corner,United States,Alabama,4093753
Troy,United States,Alabama,4094163
Trussville,United States,Alabama,4094212
Tuscaloosa,United States,Alabama,4094455
Vestavia Hills,United States,Alabama,4095415
Alabaster,United States,Alabama,4829762
Albertville,United States,Alabama,4829791
Anniston,United States,Alabama,4830198
Athens,United States,Alabama,4830668
Auburn,United States,Alabama,4830796
Dixiana,United States,Alabama,8605041
Viçosa,Brazil,Alagoas,3385109
União dos Palmares,Brazil,Alagoas,3385742
Satuba,Brazil,Alagoas,3387987
São Miguel dos Campos,Brazil,Alagoas,3388269
São Luís do Quitunde,Brazil,Alagoas,3388341
Santana do Ipanema,Brazil,Alagoas,3389384
Rio Largo,Brazil,Alagoas,3390288
Porto Calvo,Brazil,Alagoas,3391397
Pilar,Brazil,Alagoas,3392126
Murici,Brazil,Alagoas,3394116
Matriz de Camaragibe,Brazil,Alagoas,3395077
Marechal Deodoro,Brazil,Alagoas,3395395
Maragogi,Brazil,Alagoas,3395458
Maceió,Brazil,Alagoas,3395981
Delmiro Gouveia,Brazil,Alagoas,3401109
Campo Alegre,Brazil,Alagoas,3403611
Cajueiro,Brazil,Alagoas,3403941
Atalaia,Brazil,Alagoas,3406996
Arapiraca,Brazil,Alagoas,3407327
Penedo,Brazil,Alagoas,3454231
Coruripe,Brazil,Alagoas,3465329
San José,Costa Rica,Alajuela Province,3621841
Quesada,Costa Rica,Alajuela Province,3622190
Alajuela,Costa Rica,Alajuela Province,3624955
Moramanga,Madagascar,Alaotra Mangoro,1058532
Andilamena,Madagascar,Alaotra Mangoro,1076194
Amparafaravola,Madagascar,Alaotra Mangoro,1078446
Ambatondrazaka,Madagascar,Alaotra Mangoro,1082639
Juneau,United States,Alaska,5554072
Eagle River,United States,Alaska,5861187
Fairbanks,United States,Alaska,5861897
Anchorage,United States,Alaska,5879400
Badger,United States,Alaska,5879898
Sebeş,Romania,Alba,667526
Ocna Mureş,Romania,Alba,672024
Cugir,Romania,Alba,679995
Blaj,Romania,Alba,684612
Alba Iulia,Romania,Alba,686578
Aiud,Romania,Alba,686590
Airdrie,Canada,Alberta,5882799
Calgary,Canada,Alberta,5913490
Camrose,Canada,Alberta,5914653
Cochrane,Canada,Alberta,5924618
Edmonton,Canada,Alberta,5946768
Fort McMurray,Canada,Alberta,5955895
Grande Prairie,Canada,Alberta,5964347
Leduc,Canada,Alberta,6051562
Lethbridge,Canada,Alberta,6053154
Lloydminster,Canada,Alberta,6058024
Medicine Hat,Canada,Alberta,6071618
Red Deer,Canada,Alberta,6118158
Sherwood Park,Canada,Alberta,6146279
Spruce Grove,Canada,Alberta,6154383
St. Albert,Canada,Alberta,6155033
Naz̧arābād,Iran,Alborz Province,122438
Karaj,Iran,Alborz Province,128747
Tall Rif‘at,Syria,Aleppo,163476
Tādif,Syria,Aleppo,163811
Kabbasin,Syria,Aleppo,166285
Nubl,Syria,Aleppo,166331
Manbij,Syria,Aleppo,167357
Jarābulus,Syria,Aleppo,169179
Aleppo,Syria,Aleppo,170063
Dayr Ḩāfir,Syria,Aleppo,170785
Batabo,Syria,Aleppo,171694
I‘zāz,Syria,Aleppo,172082
‘Ayn al ‘Arab,Syria,Aleppo,172256
As Safīrah,Syria,Aleppo,172503
Al Bāb,Syria,Aleppo,174018
‘Afrīn,Syria,Aleppo,174186
Alexandria,Egypt,Alexandria,361058
Zeralda,Algeria,Algiers,2474583
Sidi Moussa,Algeria,Algiers,2479966
Saoula,Algeria,Algiers,2482390
Rouiba,Algeria,Algiers,2482908
Reghaïa,Algeria,Algiers,2483757
Douera,Algeria,Algiers,2499193
Dar el Beïda,Algeria,Algiers,2500889
Cheraga,Algeria,Algiers,2501465
Bordj el Kiffan,Algeria,Algiers,2503661
Birkhadem,Algeria,Algiers,2503847
Baraki,Algeria,Algiers,2505653
Bab Ezzouar,Algeria,Algiers,2505854
Algiers,Algeria,Algiers,2507480
Aïn Taya,Algeria,Algiers,2507912
’Aïn Benian,Algeria,Algiers,2508275
Ali Sabieh,Djibouti,Ali Sabieh,225284
Malanville,Benin,Alibori,2392837
Kandi,Benin,Alibori,2393693
Banikoara,Benin,Alibori,2395317
Talghar,Kazakhstan,Almaty,1518518
Otegen Batyra,Kazakhstan,Almaty,1524308
Burunday,Kazakhstan,Almaty,1524958
Almaty,Kazakhstan,Almaty,1526384
Konayev,Kazakhstan,Almaty Oblysy,1519948
Esik,Kazakhstan,Almaty Oblysy,1523741
San Pedro Carchá,Guatemala,Alta Verapaz,3589643
San Cristóbal Verapaz,Guatemala,Alta Verapaz,3590316
Panzos,Guatemala,Alta Verapaz,3591676
Cobán,Guatemala,Alta Verapaz,3598119
Chisec,Guatemala,Alta Verapaz,3598415
Mayma,Russia,Altai,1499163
Gorno-Altaysk,Russia,Altai,1506271
Zarinsk,Russia,Altai Krai,1485439
Yuzhnyy,Russia,Altai Krai,1485627
Yarovoye,Russia,Altai Krai,1486340
Tal’menka,Russia,Altai Krai,1490266
Slavgorod,Russia,Altai Krai,1491706
Rubtsovsk,Russia,Altai Krai,1493467
Novosilikatnyy,Russia,Altai Krai,1496739
Novoaltaysk,Russia,Altai Krai,1497173
Kulunda,Russia,Altai Krai,1501460
Kamen’-na-Obi,Russia,Altai Krai,1504871
Gornyak,Russia,Altai Krai,1506260
Biysk,Russia,Altai Krai,1510018
Barnaul,Russia,Altai Krai,1510853
Aleysk,Russia,Altai Krai,1511783
Presidente Franco,Paraguay,Alto Paraná,3437444
Ciudad del Este,Paraguay,Alto Paraná,3439101
Alytus,Lithuania,Alytus,601084
Dārzciems,Latvia,Alūksne Municipality,460433
Pedro Juan Caballero,Paraguay,Amambay,3437547
Sanaa,Yemen,Amanat Alasimah,71137
Santana,Brazil,Amapá,3391360
Macapá,Brazil,Amapá,3396016
Taşova,Turkey,Amasya,739015
Suluova,Turkey,Amasya,739251
Merzifon,Turkey,Amasya,741609
Amasya,Turkey,Amasya,752015
Parintins,Brazil,Amazonas,3393008
Maués,Brazil,Amazonas,3395062
Itacoatiara,Brazil,Amazonas,3397893
Tefé,Brazil,Amazonas,3661944
Tabatinga,Brazil,Amazonas,3662075
São Gabriel da Cachoeira,Brazil,Amazonas,3662342
Manaus,Brazil,Amazonas,3663517
Manacapuru,Brazil,Amazonas,3663529
Humaitá,Brazil,Amazonas,3664078
Fonte Boa,Brazil,Amazonas,3664207
Eirunepé,Brazil,Amazonas,3664321
Coari,Brazil,Amazonas,3664539
Carauari,Brazil,Amazonas,3664659
Rio Preto da Eva,Brazil,Amazonas,6318165
Leticia,Colombia,Amazonas,3676623
La Peca,Peru,Amazonas,3695675
Chachapoyas,Peru,Amazonas,3698540
Bagua Grande,Peru,Amazonas,3699484
Puerto Ayacucho,Venezuela,Amazonas,3629710
Werota,Ethiopia,Amhara,326206
Robīt,Ethiopia,Amhara,329586
Kemisē,Ethiopia,Amhara,333356
Kombolcha,Ethiopia,Amhara,333373
Gondar,Ethiopia,Amhara,336014
Finote Selam,Ethiopia,Amhara,337712
Desē,Ethiopia,Amhara,339219
Debre Tabor,Ethiopia,Amhara,339686
Debre Mark’os,Ethiopia,Amhara,339708
Debre Birhan,Ethiopia,Amhara,339734
Debark’,Ethiopia,Amhara,339823
Burē,Ethiopia,Amhara,341397
Bichena,Ethiopia,Amhara,342190
Batī,Ethiopia,Amhara,342641
Bahir Dar,Ethiopia,Amhara,342884
Ādīs Zemen,Ethiopia,Amhara,344923
Ādēt,Ethiopia,Amhara,345353
Abomsa,Ethiopia,Amhara,345704
Wādī as Sīr,Jordan,Amman,246013
Umm as Summāq,Jordan,Amman,246314
Saḩāb,Jordan,Amman,247105
Amman,Jordan,Amman,250441
Ḩayy al Quwaysimah,Jordan,Amman,250461
Al Jubayhah,Jordan,Amman,250637
Protaras,Cyprus,Ammochostos,18918
Famagusta,Cyprus,Ammochostos,146617
Amnat Charoen,Thailand,Amnat Charoen,1621060
Fandriana,Madagascar,Amoroni Mania,1065222
Ambositra,Madagascar,Amoroni Mania,1079088
Ambatofinandrahana,Madagascar,Amoroni Mania,1083239
Zeya,Russia,Amur Oblast,2012593
Tynda,Russia,Amur Oblast,2014718
Svobodnyy,Russia,Amur Oblast,2015833
Shimanovsk,Russia,Amur Oblast,2016701
Raychikhinsk,Russia,Amur Oblast,2017487
Blagoveshchensk,Russia,Amur Oblast,2026609
Belogorsk,Russia,Amur Oblast,2026895
Long Xuyên,Vietnam,An Giang,1575627
Châu Đốc,Vietnam,An Giang,1585660
Najaf,Iraq,An Najaf,98860
Al Mishkhāb,Iraq,An Najaf,99060
Kufa,Iraq,An Najaf,99135
Zuwārah,Libya,An Nuqāţ al Khams,2208425
Zalţan,Libya,An Nuqāţ al Khams,2208655
Al Ajaylat,Libya,An Nuqāţ al Khams,2219701
Al Jumayl,Libya,An Nuqāţ al Khams,2219936
Sadabe,Madagascar,Analamanga,1057688
Manjakandriana,Madagascar,Analamanga,1060673
Antananarivo,Madagascar,Analamanga,1070940
Ankazondandy,Madagascar,Analamanga,1072711
Ankazobe,Madagascar,Analamanga,1072849
Anjozorobe,Madagascar,Analamanga,1073482
Ambohitrolomahitsy,Madagascar,Analamanga,1079777
Alarobia,Madagascar,Analamanga,1084740
Vavatenina,Madagascar,Analanjirofo,1054192
Soanierana Ivongo,Madagascar,Analanjirofo,1056386
Maroantsetra,Madagascar,Analanjirofo,1060283
Mananara,Madagascar,Analanjirofo,1061412
Fenoarivo Atsinanana,Madagascar,Analanjirofo,1064980
Uga,Nigeria,Anambra,2320920
Ozubulu,Nigeria,Anambra,2325161
Onitsha,Nigeria,Anambra,2326016
Nnewi,Nigeria,Anambra,2328765
Nkpor,Nigeria,Anambra,2328811
Ihiala,Nigeria,Anambra,2338497
Igbo-Ukwu,Nigeria,Anambra,2338640
Enugu-Ukwu,Nigeria,Anambra,2343270
Awka,Nigeria,Anambra,2348773
Atani,Nigeria,Anambra,2349019
Agulu,Nigeria,Anambra,2351740
Huaraz,Peru,Ancash,3696378
Coishco,Peru,Ancash,3697990
Chimbote,Peru,Ancash,3698304
Huarmey,Peru,Ancash,3939168
Centenario,Peru,Ancash,12157064
Zubia,Spain,Andalusia,2509305
Vícar,Spain,Andalusia,2509650
Vélez-Málaga,Spain,Andalusia,2509769
Utrera,Spain,Andalusia,2510073
Ubrique,Spain,Andalusia,2510112
Úbeda,Spain,Andalusia,2510116
Torrox,Spain,Andalusia,2510245
Torremolinos,Spain,Andalusia,2510281
Torre del Mar,Spain,Andalusia,2510309
Tomares,Spain,Andalusia,2510394
Tarifa,Spain,Andalusia,2510599
Sevilla,Spain,Andalusia,2510911
Santafé,Spain,Andalusia,2511160
San Roque,Spain,Andalusia,2511239
San Pedro de Alcántara,Spain,Andalusia,2511250
Sanlúcar de Barrameda,Spain,Andalusia,2511306
San Juan de Aznalfarache,Spain,Andalusia,2511329
San Fernando,Spain,Andalusia,2511388
Rota,Spain,Andalusia,2511700
Roquetas de Mar,Spain,Andalusia,2511716
Ronda,Spain,Andalusia,2511730
Rincón de la Victoria,Spain,Andalusia,2511852
Puerto Real,Spain,Andalusia,2512169
Puente-Genil,Spain,Andalusia,2512232
Priego de Córdoba,Spain,Andalusia,2512282
Pozoblanco,Spain,Andalusia,2512340
Palma del Río,Spain,Andalusia,2512990
Osuna,Spain,Andalusia,2513052
Níjar,Spain,Andalusia,2513222
Nerja,Spain,Andalusia,2513240
Motril,Spain,Andalusia,2513477
Morón de la Frontera,Spain,Andalusia,2513509
Montilla,Spain,Andalusia,2513601
Moguer,Spain,Andalusia,2513791
Mijas,Spain,Andalusia,2513882
Martos,Spain,Andalusia,2514073
Marchena,Spain,Andalusia,2514158
Marbella,Spain,Andalusia,2514169
Maracena,Spain,Andalusia,2514176
Málaga,Spain,Andalusia,2514256
Mairena del Aljarafe,Spain,Andalusia,2514287
Mairena del Alcor,Spain,Andalusia,2514288
Lucena,Spain,Andalusia,2514392
Los Palacios y Villafranca,Spain,Andalusia,2514553
Los Barrios,Spain,Andalusia,2514824
Lora del Río,Spain,Andalusia,2514893
Loja,Spain,Andalusia,2514946
Linares,Spain,Andalusia,2515045
Lepe,Spain,Andalusia,2515072
Lebrija,Spain,Andalusia,2515096
Las Cabezas de San Juan,Spain,Andalusia,2515493
La Rinconada,Spain,Andalusia,2515562
La Línea de la Concepción,Spain,Andalusia,2515812
La Carolina,Spain,Andalusia,2516088
La Algaba,Spain,Andalusia,2516217
Jerez de la Frontera,Spain,Andalusia,2516326
Jaén,Spain,Andalusia,2516395
Isla Cristina,Spain,Andalusia,2516431
Huércal-Overa,Spain,Andalusia,2516542
Huelva,Spain,Andalusia,2516548
Guadix,Spain,Andalusia,2516925
Granada,Spain,Andalusia,2517117
Fuengirola,Spain,Andalusia,2517595
Estepona,Spain,Andalusia,2517816
El Viso del Alcor,Spain,Andalusia,2518040
El Puerto de Santa María,Spain,Andalusia,2518207
El Ejido,Spain,Andalusia,2518494
El Arahal,Spain,Andalusia,2518729
Écija,Spain,Andalusia,2518770
Dos Hermanas,Spain,Andalusia,2518794
Coria del Río,Spain,Andalusia,2519233
Córdoba,Spain,Andalusia,2519240
Conil de la Frontera,Spain,Andalusia,2519289
Coín,Spain,Andalusia,2519367
Chipiona,Spain,Andalusia,2519477
Chiclana de la Frontera,Spain,Andalusia,2519513
Castilleja de la Cuesta,Spain,Andalusia,2519738
Cartaya,Spain,Andalusia,2520052
Cártama,Spain,Andalusia,2520055
Carmona,Spain,Andalusia,2520118
Campiña,Spain,Andalusia,2520425
Camas,Spain,Andalusia,2520477
Cadiz,Spain,Andalusia,2520600
Cabra,Spain,Andalusia,2520645
Bormujos,Spain,Andalusia,2520833
Berja,Spain,Andalusia,2521016
Benalmádena,Spain,Andalusia,2521139
Baza,Spain,Andalusia,2521215
Barbate,Spain,Andalusia,2521335
Bailén,Spain,Andalusia,2521410
Baeza,Spain,Andalusia,2521413
Baena,Spain,Andalusia,2521415
Ayamonte,Spain,Andalusia,2521456
Atarfe,Spain,Andalusia,2521485
Arroyo de la Miel,Spain,Andalusia,2521554
Armilla,Spain,Andalusia,2521590
Arcos de la Frontera,Spain,Andalusia,2521665
Antequera,Spain,Andalusia,2521710
Andújar,Spain,Andalusia,2521738
Almuñécar,Spain,Andalusia,2521847
Almonte,Spain,Andalusia,2521857
Almería,Spain,Andalusia,2521886
Aljaraque,Spain,Andalusia,2521964
Alhaurín el Grande,Spain,Andalusia,2521985
Alhaurín de la Torre,Spain,Andalusia,2521986
Algeciras,Spain,Andalusia,2522013
Alcalá la Real,Spain,Andalusia,2522160
Alcalá de Guadaira,Spain,Andalusia,2522165
Albolote,Spain,Andalusia,2522208
Adra,Spain,Andalusia,2522430
Las Gabias,Spain,Andalusia,6559641
Port Blair,India,Andaman and Nicobar,1259385
Yanam,India,Andhra Pradesh,1252795
Vuyyūru,India,Andhra Pradesh,1253077
Vizianagaram,India,Andhra Pradesh,1253084
Visakhapatnam,India,Andhra Pradesh,1253102
Vinukonda,India,Andhra Pradesh,1253150
Vijayawada,India,Andhra Pradesh,1253184
Vetapālem,India,Andhra Pradesh,1253220
