"idcommande","noLigne","quantite","idProduit"
"105","2","3","81287"
"106","3","2","0"
"107","2","2","836"
"108","1","2","65"
"109","2","1","0"
"110","2","2","2147483647"
"111","1","1","0"
"112","1","1","55"
"113","3","4","0"
"114","3","4","0"
"115","2","3","64"
"116","3","1","9919"
"117","2","3","334"
"118","2","4","0"
"119","2","3","0"
"120","1","3","0"
"121","1","2","1"
"122","2","2","0"
"123","3","3","1255"
"124","2","4","63"
"125","3","4","614"
"126","3","3","80"
"127","1","4","0"
"128","1","2","3196"
"129","3","2","836"
"130","3","4","7"
"131","1","2","0"
"132","2","2","0"
"133","3","3","2"
"134","3","3","4"
"135","2","1","0"
"136","1","4","7"
"137","2","2","50"
"138","1","2","2741126"
"139","3","3","7"
"140","2","3","0"
"141","1","4","0"
"142","1","2","0"
"143","2","1","0"
"144","3","3","6"
"145","2","3","0"
"146","1","4","0"
"147","2","1","0"
"148","3","1","626"
"149","1","4","0"
"150","3","3","2147483647"
"151","1","4","2"
"152","2","1","571057"
"153","1","4","7"
"154","1","3","9"
"155","2","4","16533"
"156","2","2","9"
"157","3","1","62771"
"158","1","2","15"
"159","2","2","0"
"160","2","3","36985"
"161","1","1","13"
"162","2","1","77"
"163","3","1","7"
"164","3","1","0"
"165","1","2","8"
"166","1","2","439"
"167","3","3","751225"
"168","2","4","0"
"169","1","3","8"
"170","3","2","7"
"171","1","2","47"
"172","2","2","50"
"173","3","1","0"
"174","2","1","0"
"175","1","2","38"
"176","1","3","81287"
"177","3","1","2"
"178","2","2","383297509"
"179","1","1","71"
"180","2","4","3"
"181","3","1","583"
"182","1","1","1"
"183","3","1","0"
"184","2","4","75"
"185","2","3","443"
"186","1","3","6"
"187","2","2","3"
"188","3","4","0"
"189","3","1","2147483647"
"190","2","4","0"
"191","1","2","2147483647"
"192","1","3","5"
"193","1","2","7549676"
"194","2","2","0"
"195","3","3","0"
"196","2","2","2"
"197","3","4","66"
"198","3","2","9663362"
"199","1","4","0"
"200","3","2","0"
"201","2","3","1"
"202","3","1","0"
"203","2","2","0"
"204","2","4","9"
"205","2","2","21"
"206","1","3","52"
"207","3","4","2147483647"
"208","2","2","795"
"209","3","2","85"
"210","2","1","9"
"211","1","4","0"
"212","3","1","4"
"213","2","1","43821911"
"214","3","2","1683"
"215","2","3","0"
"216","3","2","0"
"217","1","2","9"
"218","1","1","45"
"219","3","3","7"
"220","1","4","2"
"221","1","3","0"
"222","3","2","38"
"223","1","4","0"
"224","3","2","1"
"225","1","2","0"
"226","2","2","0"
"227","1","3","0"
"228","3","1","0"
"229","3","1","0"
"230","1","2","1000000000"
"231","2","1","610"
"232","1","4","0"
"233","1","4","0"
"234","1","2","5049"
"235","2","4","0"
"236","3","3","8"
"237","2","3","0"
"238","3","4","0"
"239","1","2","5"
"240","3","3","7"
"241","1","1","0"
"242","2","4","4"
"243","3","2","0"
"244","1","3","84141"
"245","3","3","4"
"246","2","3","0"
"247","1","3","0"
"248","2","1","325"
"249","1","1","0"
"250","3","2","0"
"251","3","2","7321"
"252","3","3","17613"
"253","2","3","0"
"254","3","2","0"
"255","2","4","84"
"256","3","3","0"
"257","2","1","0"
"258","1","1","594"
"259","3","1","7"
"260","1","1","0"
"261","3","4","60"
"262","1","1","1683"
"263","2","3","0"
"264","3","2","0"
"265","3","2","874"
"266","1","2","0"
"267","3","2","0"
"268","2","4","0"
"269","2","4","0"
"270","3","3","0"
"271","1","1","0"
"272","3","4","52"
"273","2","3","522"
"274","2","4","0"
"275","3","4","0"
"276","1","2","788"
"277","3","2","585404"
"278","2","1","1"
"279","1","4","65114"
"280","2","1","8"
"281","2","3","0"
"282","2","2","7"
"283","2","1","66"
"284","1","3","0"
"285","2","3","719"
"286","1","4","11161"
"287","3","1","29"
"288","2","2","58"
"289","3","4","0"
"290","1","4","990"
"291","1","3","0"
"292","3","4","0"
"293","2","1","44"
"294","2","2","1"
"295","1","3","0"
"296","2","2","0"
"297","3","2","2"
"298","2","1","18"
"299","3","2","3"
"300","3","1","3"
"301","1","1","13"
"302","1","1","7"
"303","2","3","0"
"304","3","2","29"
"305","3","2","0"
"306","1","2","8"
"307","2","3","2147483647"
"308","3","2","0"
"309","1","2","0"
"310","3","1","40"
"311","1","1","0"
"312","2","4","0"
"313","3","3","904099930"
"314","1","4","0"
"315","2","2","39"
"316","3","2","6005"
"317","1","3","0"
"318","1","2","64"
"319","2","1","54"
"320","3","2","5"
"321","1","2","3"
"322","3","2","578"
"323","2","4","0"
"324","2","3","0"
"325","1","3","6"
"326","3","3","9"
"327","2","1","0"
"328","1","3","0"
"329","3","3","0"
"330","3","4","0"
"331","3","4","316340"
"332","1","4","2147483647"
"333","3","3","430000"
"334","2","4","2347"
"335","3","3","0"
"336","2","2","0"
"337","1","2","0"
"338","3","3","0"
"339","2","4","52000000"
"340","2","2","9"
"341","3","4","5"
"342","1","2","0"
"343","3","3","8"
"344","1","3","7"
"345","1","3","2147483647"
"346","2","1","2"
"347","3","2","68"
"348","1","4","0"
"349","1","3","9064992"
"350","3","3","2477"
"351","2","3","0"
"352","3","1","7371"
"353","3","1","1"
"354","3","4","0"
"355","2","3","6"
"356","1","1","0"
"357","2","1","0"
"358","3","1","68"
"359","1","2","0"
"360","2","1","0"
"361","1","1","0"
"362","3","2","81"
"363","1","4","0"
"364","3","4","0"
"365","2","3","7"
"366","2","3","42381"
"367","1","2","7549676"
"368","3","4","0"
"369","1","4","0"
"370","2","3","1000000000"
"371","3","2","7"
"372","1","1","7"
"373","3","3","7921"
"374","1","3","3940"
"375","3","3","1"
"376","3","1","8"
"377","1","3","66"
"378","3","2","46"
"379","3","4","0"
"380","1","3","0"
"381","3","3","0"
"382","1","3","45"
"383","1","2","0"
"384","2","1","83733"
"385","3","2","66191901"
"386","1","4","1"
"387","2","2","443"
"388","3","4","0"
"389","1","4","56"
"390","2","2","27"
"391","2","3","0"
"392","1","3","0"
"393","3","3","0"
"394","2","4","0"
"395","3","3","6166"
"396","2","3","2147483647"
"397","3","4","339800"
"398","1","4","0"
"399","3","2","20"
"400","2","3","0"
"401","2","3","554"
"402","3","4","24"
"403","2","1","0"
"404","2","2","0"
"405","3","4","0"
"406","1","3","45"
"407","3","1","7"
"408","2","4","0"
"409","1","2","0"
"410","1","3","0"
"411","3","4","0"
"412","2","1","3"
"413","1","3","0"
"414","2","1","0"
"415","2","2","4"
"416","1","2","0"
"417","1","4","82"
"418","2","3","22807"
"419","3","4","0"
"420","1","3","0"
"421","2","2","9"
"422","1","4","6"
"423","3","4","0"
"424","3","1","66"
"425","2","1","0"
"426","1","2","0"
"427","2","3","2147483647"
"428","3","4","0"
"429","1","2","0"
"430","1","4","0"
"431","3","1","0"
"432","2","4","32"
"433","1","3","0"
"434","1","2","0"
"435","2","4","9"
"436","3","4","0"
"437","1","4","0"
"438","1","3","43"
"439","3","4","2893"
"440","2","4","2147483647"
"441","3","3","7"
"442","1","4","0"
"443","2","2","0"
"444","3","1","0"
"445","2","4","0"
"446","3","4","1833"
"447","2","2","65"
"448","3","3","48073"
"449","2","2","0"
"450","1","3","770"
"451","3","4","0"
"452","2","3","0"
"453","1","2","0"
"454","3","3","2"
"455","3","3","0"
"456","2","2","0"
"457","1","1","0"
"458","2","4","0"
"459","1","1","6"
"460","2","2","7"
"461","1","3","0"
"462","3","2","0"
"463","3","4","0"
"464","2","2","0"
"465","1","1","74104"
"466","1","1","0"
"467","3","3","0"
"468","2","1","0"
"469","2","3","5283"
"470","3","1","9"
"471","2","4","2147483647"
"472","1","2","0"
"473","3","2","0"
"474","1","3","5"
"475","2","4","0"
"476","3","3","52"
"477","3","3","4"
"478","1","1","0"
"479","2","1","0"
"480","3","4","54"
"481","1","4","0"
"482","2","1","0"
"483","3","3","0"
"484","1","2","7"
"485","2","2","271"
"486","2","1","3"
"487","1","3","5"
"488","3","1","0"
"489","2","2","0"
"490","2","3","0"
"491","1","3","0"
"492","3","1","0"
"493","1","2","0"
"494","3","4","628587015"
"495","2","4","0"
"496","1","3","5"
"497","3","3","1"
"498","2","1","59"
"499","1","1","0"
"500","3","3","62"
"501","2","4","0"
"502","1","4","0"
"503","3","1","54292"
"504","2","2","1"
"505","2","2","0"
"506","1","3","75"
"507","2","4","80"
"508","1","3","40"
"509","2","3","0"
"510","3","3","0"
"511","2","1","31"
"512","1","1","0"
"513","1","4","0"
"514","2","1","0"
"515","2","4","2"
"516","1","1","2147483647"
"517","3","4","9683"
"518","1","2","1"
"519","2","3","54"
"520","3","3","11"
"521","1","3","2147483647"
"522","2","1","1"
"523","3","4","262"
"524","1","3","0"
"525","2","4","0"
"526","3","2","0"
"527","2","2","1"
"528","1","3","0"
"529","3","4","59"
"530","2","3","1"
"531","2","1","84"
"532","1","2","0"
"533","2","3","7"
"534","3","3","0"
"535","2","2","0"
"536","1","2","9448"
"537","2","4","0"
"538","1","1","7"
"539","2","4","0"
"540","1","2","0"
"541","3","1","0"
"542","2","1","1"
"543","3","1","39887"
"544","3","2","8"
"545","1","4","4804405"
"546","2","1","92791619"
"547","3","1","4"
"548","1","2","0"
"549","3","2","0"
"550","2","2","958"
"551","3","3","9"
"552","1","3","6198"
"553","1","4","0"
"554","2","3","0"
"555","3","2","8"
"556","3","2","629"
"557","2","1","51"
"558","1","2","0"
"559","2","3","0"
"560","3","2","26"
"561","1","1","7718"
"562","3","4","0"
"563","3","2","0"
"564","1","2","238833"
"565","2","3","0"
"566","2","2","0"
"567","3","3","522"
"568","1","4","56844"
"569","2","3","0"
"570","3","1","0"
"571","1","4","6"
"572","3","3","2147483647"
"573","1","4","53"
"574","2","4","0"
"575","1","1","0"
"576","3","3","58"
"577","2","1","0"
"578","1","3","76"
"579","3","4","17660"
"580","3","2","0"
"581","1","1","4902"
"582","2","1","0"
"583","2","1","2147483647"
"584","1","3","8"
"585","2","4","4804405"
"586","2","3","6005"
"587","1","4","0"
"588","2","1","58"
"589","2","1","46"
"590","3","3","6"
"591","2","2","0"
"592","1","3","8"
"593","2","1","2147483647"
"594","3","3","0"
"595","3","2","889"
"596","3","2","25"
"597","3","1","0"
"598","2","2","0"
"599","1","3","0"
"600","1","4","0"
"601","2","1","60"
"602","3","3","0"
"603","2","2","4"
"604","1","4","0"
"605","2","1","5"
"606","3","2","51"
"607","2","2","51"
"608","3","1","0"
"609","1","1","16332"
"610","1","1","0"
"611","3","4","52"
"612","2","1","5"
"613","1","1","0"
"614","3","1","0"
"615","2","4","4902"
"616","3","1","7"
"617","1","2","50"
"618","2","2","0"
"619","3","1","11"
"620","2","1","2147483647"
"621","3","3","0"
"622","1","4","8"
"623","3","2","7"
"624","1","2","0"
"625","3","3","0"
"626","3","3","5"
"627","2","1","0"
"628","1","1","5"
"629","3","1","0"
"630","1","2","8"
"631","2","3","0"
"632","2","2","54"
"633","3","4","3362"
"634","1","3","0"
"635","1","3","45"
"636","3","3","0"
"637","3","4","0"
"638","1","2","0"
"639","2","2","990"
"640","2","2","0"
"641","3","4","886"
"642","1","2","0"
"643","3","3","1"
"644","2","2","495672110"
"645","2","2","6226"
"646","1","3","0"
"647","3","1","95"
"648","1","4","585404"
"649","2","1","35"
"650","1","4","1"
"651","3","3","1"
"652","3","3","0"
"653","2","4","0"
"654","1","3","0"
"655","3","4","6513"
"656","2","3","0"
"657","1","1","0"
"658","2","2","7"
"659","1","3","0"
"660","3","4","0"
"661","1","1","51"
"662","3","3","38"
"663","1","1","0"
"664","2","4","14"
"665","2","4","4"
"666","1","1","0"
"667","3","3","0"
"668","2","3","0"
"669","3","4","0"
"670","1","2","7833"
"671","3","2","0"
"672","2","3","0"
"673","3","1","833"
"674","1","4","3"
"675","2","1","184"
"676","3","3","5"
"677","2","2","0"
"678","1","4","0"
"679","3","4","0"
"680","2","2","76"
"681","3","4","1"
"682","1","1","2477"
"683","1","4","2"
"684","2","3","0"
"685","3","3","5101762"
"686","3","2","0"
"687","2","1","69"
"688","1","2","833"
"689","1","1","4804405"
"690","2","4","9634"
"691","1","1","4804405"
"692","2","3","626"
"693","3","4","3"
"694","2","4","8934"
"695","3","4","64"
"696","3","3","16187"
"697","1","1","9646808"
"698","2","3","0"
"699","1","3","0"
"700","3","4","0"
"701","3","1","1"
"702","1","4","20"
"703","2","4","0"
"704","1","3","83299"
"705","3","1","8"
"706","1","2","0"
"707","2","4","0"
"708","1","3","0"
"709","3","4","65615"
"710","3","4","0"
"711","2","3","1"
"712","3","3","0"
"713","1","3","0"
"714","2","4","990"
"715","2","3","0"
"716","1","1","0"
"717","3","1","0"
"718","2","1","4"
"719","2","1","9"
"720","1","1","0"
"721","2","3","3"
"722","2","4","9"
"723","2","4","6005"
"724","1","3","889"
"725","2","2","5283"
"726","1","2","0"
"727","2","4","6"
"728","3","3","6"
"729","1","2","7"
"730","2","3","47"
"731","3","4","1"
"732","3","3","0"
"733","1","3","0"
"734","3","2","0"
"735","2","1","57"
"736","3","4","705"
"737","2","4","0"
"738","2","4","0"
"739","3","4","3026"
"740","1","3","2823"
"741","2","3","2147483647"
"742","1","2","449359"
"743","2","3","0"
"744","1","1","2147483647"
"745","3","1","12"
"746","1","4","29"
"747","2","4","45"
"748","1","2","0"
"749","3","1","578"
"750","2","2","3"
"751","1","3","7718"
"752","2","4","1"
"753","3","4","0"
"754","2","4","212"
"755","3","4","0"
"756","3","1","0"
"757","2","4","1"
"758","2","2","994"
"759","1","4","47"
"760","2","2","0"
"761","1","1","5"
"762","3","4","0"
"763","1","2","4"
"764","3","2","26598762"
"765","2","4","0"
"766","1","4","0"
"767","3","4","751225"
"768","3","4","716"
"769","3","2","2"
"770","1","2","76"
"771","2","2","9885"
"772","3","4","43543"
"773","1","1","4"
"774","1","4","7"
"775","2","3","366"
"776","3","3","0"
"777","1","3","8"
"778","2","1","0"
"779","3","4","0"
"780","1","1","730399254"
"781","1","4","35"
"782","2","4","45"
"783","3","3","2147483647"
"784","2","2","5086"
"785","2","1","0"
"786","2","3","0"
"787","1","3","45208"
"788","3","3","9351"
"789","3","2","45"
"790","1","3","0"
"791","3","2","0"
"792","1","1","83733"
"793","2","3","6"
"794","3","1","8"
"795","1","2","610"
"796","2","2","5"
"797","3","3","43553366"
"798","2","4","0"
"799","1","2","0"
"800","3","1","0"
"801","1","2","341"
"802","2","1","95"
"803","2","2","0"
"804","1","4","828"
"805","3","2","1683"
"806","1","2","0"
"807","2","2","2147483647"
"808","1","2","4"
"809","2","1","2147483647"
"810","1","1","85"
"811","2","1","2147483647"
"812","1","1","6166"
"813","1","4","66"
"814","2","1","913865"
"815","1","2","1"
"816","2","2","6198"
"817","3","4","0"
"818","3","2","3312"
"819","1","3","86"
"820","2","3","5"
"821","3","4","2147483647"
"822","1","1","6"
"823","2","2","5"
"824","1","4","0"
"825","1","4","0"
"826","3","3","0"
"827","3","3","0"
"828","1","2","0"
"829","2","3","924030"
"830","2","4","16187"
"831","1","4","0"
"832","2","4","4"
"833","3","3","0"
"834","3","4","0"
"835","2","4","57"
"836","1","4","0"
"837","3","3","2"
"838","2","4","93"
"839","1","2","0"
"840","2","4","95"
"841","3","4","0"
"842","3","2","4"
"843","2","1","1"
"844","2","4","0"
"845","1","3","0"
"846","3","1","2"
"847","3","2","2147483647"
"848","2","1","0"
"849","2","1","0"
"850","3","1","0"
"851","1","1","6"
"852","1","2","0"
"853","1","2","56"
"854","2","2","0"
"855","1","4","0"
"856","1","3","0"
"857","3","3","0"
"858","1","3","583"
"859","2","2","29"
"860","2","4","0"
"861","1","2","8"
"862","3","3","0"
"863","1","3","740"
"864","3","3","41434099"
"865","2","4","0"
"866","1","2","46"
"867","2","3","0"
"868","3","3","0"
"869","2","2","628"
"870","2","2","2147483647"
"871","3","1","92791619"
"872","1","1","0"
"873","2","4","38063"
"874","1","1","7718"
"875","3","2","0"
"876","3","2","0"
"877","3","3","0"
"878","3","1","781"
"879","2","1","66"
"880","3","4","0"
"881","1","3","95"
"882","1","2","0"
"883","3","4","2"
"884","2","1","14933"
"885","1","4","59"
"886","3","4","0"
"887","2","1","0"
"888","1","1","0"
"889","1","4","0"
"890","3","4","0"
"891","2","4","8"
"892","2","3","0"
"893","3","3","75"
"894","2","2","0"
"895","1","2","6"
"896","2","3","0"
"897","3","4","8"
"898","2","2","203234"
"899","2","4","0"
"900","2","3","2147483647"
"901","1","4","7"
"902","3","2","14211"
"903","1","2","456"
"904","3","2","2741126"
"905","1","3","52014"
"906","3","4","3026"
"907","1","3","670000"
"908","2","4","0"
"909","1","2","828"
"910","3","2","0"
"911","2","2","0"
"912","1","4","82"
"913","3","3","2"
"914","1","4","0"
"915","3","4","0"
"916","2","3","0"
"917","1","2","85699332"
"918","2","2","1"
"919","3","2","0"
"920","2","1","8096"
"921","1","4","0"
"922","3","4","69"
"923","1","2","0"
"924","3","2","874"
"925","2","1","205413"
"926","3","4","0"
"927","2","1","0"
"928","1","3","0"
"929","1","2","12"
"930","3","1","8"
"931","2","3","41172"
"932","3","4","0"
"933","2","4","4804405"
"934","1","3","840"
"935","1","3","0"
"936","2","1","0"
"937","3","2","9351"
"938","1","3","0"
"939","2","1","0"
"940","3","4","0"
"941","2","3","0"
"942","3","2","0"
"943","2","2","670000"
"944","2","2","56"
"945","1","2","0"
"946","3","4","0"
"947","1","1","0"
"948","2","2","2"
"949","3","3","0"
"950","1","1","0"
"951","2","1","6"
"952","3","3","0"
"953","2","3","9"
"954","3","1","51107150"
"955","1","2","0"
"956","2","4","16187"
"957","3","1","0"
"958","1","1","0"
"959","3","4","3"
"960","2","4","9422"
"961","3","4","8"
"962","2","4","0"
"963","1","2","0"
"964","3","3","0"
"965","3","2","0"
"966","1","2","0"
"967","2","4","0"
"968","3","3","6936"
"969","2","4","75"
"970","1","4","0"
"971","3","3","2"
"972","1","1","554"
"973","2","1","0"
"974","3","3","21692"
"975","1","3","0"
"976","3","4","22"
"977","1","2","0"
"978","1","2","0"
"979","2","3","90"
"980","3","2","6513"
"981","2","4","9"
"982","1","1","5678"
"983","2","1","1"
"984","3","4","0"
"985","3","1","802"
"986","2","3","1"
"987","1","1","0"
"988","3","1","1"
"989","2","1","0"
"990","1","3","0"
"991","2","1","71"
"992","1","1","57"
"993","3","2","63"
"994","3","3","4"
"995","2","3","66674125"
"996","1","4","0"
"997","2","1","25"
"998","1","4","836"
"999","3","3","0"
"1000","1","1","0"
"1001","2","1","8"
"1002","1","2","0"
"1003","1","1","325"
"1004","3","1","0"
"1005","2","2","0"
"1006","3","4","44"
"1007","3","3","9"
"1008","1","3","1"
"1009","3","1","26"
"1010","2","3","46"
"1011","1","3","0"
"1012","3","3","3245"
"1013","1","2","0"
"1014","3","2","0"
"1015","2","4","0"
"1016","1","4","4"
"1017","3","2","1"
"1018","1","2","0"
"1019","3","4","17660"
"1020","2","1","0"
"1021","2","3","55"
"1022","1","3","6"
"1023","2","3","7718"
"1024","1","2","2147483647"
"1025","2","2","16420"
"1026","3","3","2147483647"
"1027","1","3","639"
"1028","2","4","507"
"1029","3","2","0"
"1030","1","3","2147483647"
"1031","3","2","899645"
"1032","1","4","29"
"1033","2","2","11216"
"1034","2","2","5"
"1035","1","1","639"
"1036","3","3","0"
"1037","2","4","51"
"1038","3","2","430000"
"1039","2","2","838"
"1040","1","1","0"
"1041","2","3","0"
"1042","3","1","0"
"1043","2","2","325"
"1044","2","1","2147483647"
"1045","3","4","7"
"1046","3","1","470"
"1047","2","1","257862"
"1048","2","4","0"
"1049","3","3","6479"
"1050","1","3","75000000"
"1051","1","2","0"
"1052","2","4","0"
"1053","2","2","9"
"1054","1","4","66"
"1055","1","1","7"
"1056","2","2","1"
"1057","3","1","339800"
"1058","3","4","0"
"1059","2","1","5"
"1060","1","3","0"
"1061","2","1","0"
"1062","3","1","0"
"1063","1","4","4"
"1064","2","4","102"
"1065","3","1","7"
"1066","1","1","0"
"1067","1","2","0"
"1068","1","2","7"
"1069","2","2","519"
"1070","3","4","50"
"1071","3","4","2593975"
"1072","1","4","2147483647"
"1073","2","3","578"
"1074","1","2","44"
"1075","2","2","238833"
"1076","3","2","0"
"1077","1","1","34"
"1078","2","2","0"
"1079","3","1","52000000"
"1080","2","3","994"
"1081","1","1","0"
"1082","2","2","12"
"1083","2","4","0"
"1084","2","1","0"
"1085","2","4","0"
"1086","2","4","730399254"
"1087","3","2","90"
"1088","2","4","8"
"1089","1","1","0"
"1090","3","3","0"
"1091","1","1","0"
"1092","2","3","2147483647"
"1093","3","3","81"
"1094","1","3","92791619"
"1095","3","2","7"
"1096","2","1","0"
"1097","2","4","0"
"1098","3","1","2"
"1099","2","1","102"
"1100","1","2","0"
"1101","2","4","4"
"1102","3","1","832715"
"1103","3","2","832715"
"1104","3","1","6005"
"1105","1","3","0"
"1106","2","1","0"
"1107","1","2","1"
"1108","3","2","670000"
"1109","2","1","3"
"1110","1","2","0"
"1111","3","1","7321"
"1112","2","2","2"
"1113","3","4","9"
"1114","1","3","0"
"1115","2","4","2147483647"
"1116","3","1","749"
"1117","1","2","7"
"1118","2","4","0"
"1119","3","3","0"
"1120","2","1","6"
"1121","1","2","44"
"1122","3","4","0"
"1123","3","4","90"
"1124","1","4","0"
"1125","1","1","59"
"1126","3","2","1683"
"1127","3","2","5"
"1128","1","4","74104"
"1129","2","2","45"
"1130","1","3","41172"
"1131","2","1","0"
"1132","3","2","50"
"1133","1","3","38"
"1134","3","1","0"
"1135","2","4","0"
"1136","3","3","0"
"1137","2","2","224"
"1138","1","1","0"
"1139","1","1","0"
"1140","3","1","5"
"1141","2","3","0"
"1142","1","4","947242"
"1143","3","2","0"
"1144","3","4","9"
"1145","2","4","66"
"1146","3","3","5"
"1147","2","1","2147483647"
"1148","2","1","0"
"1149","1","3","3"
"1150","3","3","0"
"1151","1","1","3809"
"1152","2","3","0"
"1153","3","2","0"
"1154","1","3","0"
"1155","2","3","0"
"1156","3","3","0"
"1157","3","4","80000000"
"1158","3","3","5086"
"1159","1","3","648"
"1160","2","3","6"
"1161","2","3","0"
"1162","3","4","0"
"1163","3","3","9448"
"1164","2","1","0"
"1165","2","1","4"
"1166","2","1","364"
"1167","2","3","57"
"1168","3","4","6"
"1169","1","3","0"
"1170","3","2","0"
"1171","2","3","0"
"1172","2","3","2"
"1173","1","3","0"
"1174","3","3","85750377"
"1175","2","1","0"
"1176","1","1","3"
"1177","1","2","470"
"1178","3","1","0"
"1179","3","1","836"
"1180","2","4","0"
"1181","1","4","0"
"1182","1","4","0"
"1183","3","4","730399254"
"1184","3","4","578"
"1185","1","3","0"
"1186","2","3","9"
"1187","3","3","7"
"1188","3","1","8"
"1189","2","2","63"
"1190","1","4","84"
"1191","2","3","26"
"1192","3","3","87"
"1193","1","4","2147483647"
"1194","2","1","0"
"1195","3","1","5"
"1196","1","1","0"
"1197","3","2","8"
"1198","2","2","9068663"
"1199","1","1","6513"
"1200","2","4","700000000"
"1201","2","1","35"
"1202","3","3","0"
"1203","3","4","703138867"
"1204","2","3","0"
"1205","2","1","965620"
"1206","1","4","57848"
"1207","3","4","6"
"1208","3","4","75"
"1209","3","1","10276898"
"1210","2","2","65"
"1211","3","4","99"
"1212","2","2","6198"
"1213","1","3","0"
"1214","3","4","0"
"1215","1","3","0"
"1216","3","1","341"
"1217","1","4","0"
"1218","2","4","0"
"1219","3","2","2147483647"
"1220","1","2","8"
"1221","3","3","589798851"
"1222","2","3","0"
"1223","2","2","0"
"1224","3","1","554"
"1225","2","4","5"
"1226","3","2","2"
"1227","2","1","0"
"1228","3","2","39887"
"1229","3","3","0"
"1230","2","1","7833"
"1231","1","4","27"
"1232","2","3","2147483647"
"1233","1","3","8"
"1234","3","4","81"
"1235","2","1","0"
"1236","3","3","0"
"1237","1","4","7"
"1238","3","4","0"
"1239","2","2","4"
"1240","1","2","5"
"1241","3","1","21"
"1242","2","4","610"
"1243","3","3","2147483647"
"1244","2","4","0"
"1245","3","3","9"
"1246","3","4","94"
"1247","2","2","4"
"1248","1","3","0"
"1249","2","2","9082"
"1250","2","4","76"
"1251","1","3","0"
"1252","3","3","781"
"1253","3","4","0"
"1254","2","4","39"
"1255","1","4","0"
"1256","1","2","2"
"1257","2","3","6226"
"1258","3","3","749"
"1259","1","1","0"
"1260","2","2","43821911"
"1261","3","4","2147483647"
"1262","1","3","642"
"1263","2","2","0"
"1264","3","3","947242"
"1265","2","4","76"
"1266","3","1","2147483647"
"1267","2","4","94"
"1268","1","2","81"
"1269","1","3","15"
"1270","2","2","21"
"1271","1","1","0"
"1272","2","3","0"
"1273","3","4","0"
"1274","2","1","730399254"
"1275","3","3","2"
"1276","1","3","0"
"1277","2","1","53"
"1278","1","4","2224"
"1279","2","3","0"
"1280","3","1","0"
"1281","1","3","65615"
"1282","2","4","0"
"1283","1","1","45208"
"1284","3","2","2147483647"
"1285","2","1","3312"
"1286","2","3","6"
"1287","1","3","5"
"1288","3","3","29"
"1289","3","3","0"
"1290","1","2","0"
"1291","2","3","0"
"1292","3","2","828"
"1293","2","2","8"
"1294","1","3","184"
"1295","3","1","7"
"1296","2","3","0"
"1297","1","3","6"
"1298","3","2","0"
"1299","1","3","38524"
"1300","1","3","2"
"1301","3","3","27"
"1302","1","3","76"
"1303","3","4","5"
"1304","2","2","2147483647"
"1305","3","4","2"
"1306","1","4","2596"
"1307","2","4","2147483647"
"1308","2","4","0"
"1309","3","1","62"
"1310","2","3","102"
"1311","1","4","66"
"1312","3","1","2147483647"
"1313","2","3","0"
"1314","1","2","7"
"1315","3","2","88"
"1316","1","3","0"
"1317","3","1","0"
"1318","2","2","0"
"1319","3","3","0"
"1320","1","3","0"
"1321","2","3","988"
"1322","1","2","9"
"1323","1","1","0"
